name;artist;duration;url;original_url;image;game;amountOfDancers;difficulty;sinceVersion
Blame;Calvin Harris ft. John Newman;3:28;https://youtu.be/1AJnoyxTW-Mv=A6kuzCmYYWg&star?t=11;https://www.youtube.com/watch?v=A6kuzCmYYWg&start=11;blame;2016;1;2;3
Blame It On The Boogie;The Jacksons;3:48;https://youtu.be/7n-Obii09qs;null;blame_it_on_the_boogie;2014;4;1;12
Blame It On The Boogie (Extreme Version);The Jacksons;3:26;https://youtu.be/oL9PSKUmTUs;null;blame_it_on_the_boogie_extreme_version;2014;1;4;12
Blinding Lights;The Weeknd;3:11;https://youtu.be/CYXxoT4O8UU?t=15;https://youtu.be/hnVwwzCVoqg?t=15;blinding_lights;2021;1;1;10
Bloody Mary;Lady Gaga;3:48;https://youtu.be/Vno9xbVxdgs?t=26;https://youtu.be/cpHDR0TM18U?t=26;bloody_mary;plus;1;2;11
Blow Your Mind (Mwah);Dua Lipa;3:01;https://youtu.be/op2ss8JVs4w?t=2;https://youtu.be/r7TndD-Ahi0?t=2;blow_your_mind_mwah;2018;1;2;11
Blue (Da Ba Dee);Eiffel 65 (Hit The Electro Beat);3:30;https://youtu.be/bxERuBXI3Ik?t=14;https://youtu.be/AFIqSaZM2D0?t=14;blue;2018;1;1;0
Blurred Lines (Extreme Version);Robin Thicke;3:42;https://youtu.be/f7pUfqyIUkM;null;blurred_lines_extreme_version;2014;1;4;12
Bo Peep Bo Peep;T-ARA;3:37;https://youtu.be/EOL5EIXWcaw?t=18;https://youtu.be/QRAsC6w9zOM?t=18;bo_peep_bo_peep;wii2;1;1;9
Body Movin';Beastie Boys;4:00;https://youtu.be/m-bK0WOY4IQv=Repsz89msqI&?t=24s;https://www.youtube.com/watch?v=Repsz89msqI&t=24s;body_movin;2;1;1;0
Bonbon;Era Istrefi;2:48;https://youtu.be/yVNaarxJH1w;null;bonbon;2017;1;3;12
Boogie Wonderland;Groove Century;3:23;https://youtu.be/NswgEwE6brE;null;boogie_wonderland;3;4;1;12
Boom;MC Mágico & Alex Wilson;2:15;https://youtu.be/0f7-5G3yMpk?t=13;https://youtu.be/awVxB4MdMeE?t=13;boom;3;1;1;10
Boom Boom;Iggy Azalea ft. Zedd;3:13;https://youtu.be/Ctq5ZwJ5tt4?t=20;https://youtu.be/5lvKdoAW_M0?t=20;boom_boom;2018;3;3;11
Boom Clap;Charli XCX;2:44;https://youtu.be/xblpnqvxIdw;https://youtu.be/un85_cWOyyM;boom_clap;2015;1;2;8
Boombaya (alternate);BLACKPINK;4:08;https://youtu.be/wDsHlgjl8es;null;boombaya_alternate;2022;1;2;12
Born This Way;Lady Gaga;3:27;https://youtu.be/ebWHLnNdsJA?t=29;https://youtu.be/BruhuumfNS4?t=29;born_this_way;2016;3;2;5
Born This Way (Nerd Version);Lady Gaga;3:46;https://youtu.be/FDth7k54NTY?t=19;https://youtu.be/4fHDcTUo--8?t=19;born_this_way_alternate;2016;1;1;11
Born To Be Wild;Steppenwolf;3:30;https://youtu.be/BYCzm8Sj_sY;https://youtu.be/OiQ7ZUMLg4Q;born_to_be_wild;2;1;1;11
Boss Bitch;Doja Cat;2:10;https://youtu.be/Q4L3WfYEpTI;https://youtu.be/Yt9aCIg04ZU&t=14s;boss_bitch;2022;1;2;10
Boy With Luv (extreme);BTS;3:43;https://youtu.be/d12y1pwdU-Y?t=8;https://youtu.be/P8yowpGUm9I?t=8;boy_with_luv_extreme;2023;1;4;10
Boy with luv;BTS;3:55;https://youtu.be/jQfJGErNOAo;null;boy_with_luv;2023;3;3;12
Boys;Lizzo;2:50;https://youtu.be/3Jqvf75xx6Y?t=21;https://youtu.be/RX1Z5HRH-90?t=21;boys;2020;1;3;10
Boy’s a Liar Pt. 2;PinkPantheress, Ice Spice;2:28;https://youtu.be/RUDQOS96Esk;null;boys_a_liar_pt_2;2024;2;2;12
Break My Heart;Dua Lipa;3:28;https://youtu.be/uvmxZUAkd2I?t=19;https://youtu.be/IT9U64UZJcg?t=19;break_my_heart;2022;1;2;5
Break free;Ariana Grande;3:36;https://youtu.be/9qGsZQHx3AYv=UGlQBLU3xAA;https://www.youtube.com/watch?v=UGlQBLU3xAA;break_free;2015;1;1;0
Bring Me To Life;Evanescence;3:31;https://youtu.be/9zkWluU6zlk?t=29;https://youtu.be/kutlNUBpH4s?t=29;bring_me_to_life;2023;2;3;9
Build A Bitch;Bella Porch;2:00;https://youtu.be/H0-VDXz746wv=iO9Cb56tl6Y;https://www.youtube.com/watch?v=iO9Cb56tl6Y;build_a_bitch;2022;1;2;8
Built For This;Becky G;3:14;https://youtu.be/DMNT2s-xeOo?t=17;null;built_for_this;2015;1;2;11
Bum Bum Tam Tam;MC Fioti, Future, J Balvin, Stefflon Don, & Juan Magán;3:19;https://youtu.be/8nQ0g0vo14o?t=16;https://youtu.be/ljAK2KZzaUA?t=16;bum_bum_tam_tam;2019;2;2;10
Bum Bum Tam Tam (Mad Scientist Version);MC Fioti, Future, J Balvin, Stefflon Don, & Juan Magán;2:50;https://youtu.be/Ac3aRTXH4fk?t=31;https://youtu.be/7VJahso6ecc?t=31;bum_bum_tam_tam_alternate;2019;2;1;11
Burn;Ellie Goulding;3:54;https://youtu.be/4UBBxnzaQjEv=ofQphUnfVeA;https://www.youtube.com/watch?v=ofQphUnfVeA;burn;2015;1;2;0
Buscando (extreme);GTA & Jenn Morel;3:41;https://youtu.be/XkFtQjJ3nZU?t=17;https://youtu.be/95lYiGI7pjY?t=17;buscando_extreme;2021;1;4;9
Butter;BTS;2:46;https://youtu.be/nHOwjF-bLJc;null;butter_alt;2024;1;2;12
Butterfly on your Right Shoulder;Kagamine Len;2:41;https://youtu.be/6bgP3DPDT4k?t=24;https://youtu.be/vZdXcKgUZVA?t=24;butterfly_on_your_right_shoulder;fanmade;2; 1;10
Buttons;Pussycat Dolls ft. Snoop Dog;4:18;https://youtu.be/fwkU_CVOJt0;null;buttons;2022;3;2;12
C'mon;Ke$ha;3:23;https://youtu.be/-rz8m1WmfyA?t=24;https://youtu.be/bl399rfzD5s?t=24;cmon;2014;2;2;1
Cake By The Ocean (Earphones Version);DNCE;3:42;https://youtu.be/ajEGG1PL1NE?t=1;https://youtu.be/U77pLt7U0zU?t=1;cake_by_the_ocean_alternate;2017;2;2;11
Cake by the Ocean;DNCE;3:34;https://youtu.be/jRzMDzDXEuQ?t=18;https://youtu.be/qryAuIqG8oo?t=18;cake_by_the_ocean;2017;1;1;1
Calabria 2007;Enur ft. Natasja;3:59;https://youtu.be/axEqltCJGYQ;null;calabria_2007;2025;3;1;12
California Gurls;Katy Perry featuring Snoop Dogg;4:00;https://youtu.be/nFmwsA_OOEI?t=26;https://youtu.be/smhZTYZFqho?t=26;california_gurls;3;1;2;0
Call Me Maybe (Alternate);Carly Rae Jepsen;3:17;https://youtu.be/sD3j6sqtmKc;null;call_me_maybe_alternate;4;1;2;12
Call me maybe;Carly Rae Jepsen;3:03;https://youtu.be/dCvxohqwqGU?t=9;https://youtu.be/2GTAwNmyjSc?t=9;call_me_maybe;4;1;1;0
Calm Down;Rema;3:45;https://youtu.be/RMdM04BO_yE;null;calm_down;2024;2;1;12
Calypso;Luis Fonsi & Stefflon Don;3:17;https://youtu.be/d_4rn6Gb17A?t=5;https://youtu.be/NTd6VzgBeEc?t=5;calypso;2019;1;2;9
Can't Hold Us;Macklemore & Ryan Lewis ft. Ray Dalton;3:38;https://youtu.be/g_mYEpZH6yY?t=9;https://youtu.be/aq2ACplLHh8?t=9;can't_hold_us;2014;1;2;0
Can't Take My Eyes Off You;Boys Town Gang;3:41;https://youtu.be/fHlD_MnNaX0?t=18;https://youtu.be/tHt6XVwauPc?t=18;cant_take_my_eyes_off_you;4;2;1;10
Can't Take My Eyes Off You (Wrestler Version);Boys Town Gang;3:31;https://youtu.be/bTtDgTsrOsA?t=25;https://youtu.be/0j8iI-zNE1M?t=25;cant_take_my_eyes_off_you_wrestler;4;1;3;9
